date_stamp,time_stamp,mini_volts,temperature,irradiance
150611,00:00:00,-0.2265625,24.7651755659,-4.15226506009
date_stamp,time_stamp,mini_volts,temperature,irradiance
150611,00:00:03,-0.171875,24.8595685447,-3.14984550441
date_stamp,time_stamp,mini_volts,temperature,irradiance
150611,00:01:00,-0.2578125,24.8910334604,-4.72469392035
date_stamp,time_stamp,mini_volts,temperature,irradiance
150611,00:01:03,-0.09375,24.7966395974,-1.71815161239
date_stamp,time_stamp,mini_volts,temperature,irradiance
150611,00:02:00,-0.28125,24.8910334604,-5.15421154947
date_stamp,time_stamp,mini_volts,temperature,irradiance
150611,00:02:03,-0.2265625,24.7337118291,-4.15233039168
150611,00:03:00,-0.2265625,24.8595685447,-4.15206907399
150611,00:03:03,-0.15625,24.8281039237,-2.86354096638
150611,00:04:00,-0.03125,24.8595685447,-0.57269918262
150611,00:04:03,-0.09375,24.9224986709,-1.71804348572
150611,00:05:00,-0.265625,24.9539641761,-4.8677132907
150611,00:05:03,-0.0859375,24.8281039237,-1.57494753151
150611,00:06:00,-0.1875,24.8595685447,-3.43619509572
150611,00:06:03,-0.2578125,24.8595685447,-4.72476825661
150611,00:07:00,-0.203125,24.9854299761,-3.72231042292
150611,00:07:03,-0.15625,24.9539641761,-2.86336075924
150611,00:08:00,-0.140625,24.9224986709,-2.57706522858
150611,00:08:03,-0.1875,24.8595685447,-3.43619509572
150611,00:09:00,-0.15625,24.7966395974,-2.86358602065
150611,00:09:03,-0.2265625,24.702248387,-4.15239572471
150611,00:10:00,-0.2265625,24.7651755659,-4.15226506009
150611,00:10:03,-0.2109375,24.7337118291,-3.86596277846
150611,00:11:00,-0.234375,24.7651755659,-4.29544661389
150611,00:11:03,-0.2421875,24.7651755659,-4.43862816768
150611,00:12:00,-0.1953125,24.7651755659,-3.5795388449
150611,00:12:03,-0.140625,24.8281039237,-2.57718686974
150611,00:13:00,-0.1640625,24.7337118291,-3.0068599388
150611,00:13:03,-0.1171875,24.7337118291,-2.14775709914
150611,00:14:00,-0.21875,24.7337118291,-4.00914658507
150611,00:14:03,-0.109375,24.8595685447,-2.00444713917
150611,00:15:00,-0.2109375,24.7966395974,-3.86584112788
150611,00:15:03,-0.1953125,24.7651755659,-3.5795388449
150611,00:16:00,-0.21875,24.7337118291,-4.00914658507
150611,00:16:03,-0.2578125,24.6707852396,-4.72521430872
150611,00:17:00,-0.2734375,24.7651755659,-5.01135438287
150611,00:17:03,-0.234375,24.7966395974,-4.29537903098
150611,00:18:00,-0.2265625,24.7651755659,-4.15226506009
150611,00:18:03,-0.203125,24.702248387,-3.72283754629
150611,00:19:00,-0.1875,24.607859829,-3.43662764066
150611,00:19:03,-0.1484375,24.702248387,-2.72053512998
150611,00:20:00,-0.1484375,24.607859829,-2.72066354885
150611,00:20:03,-0.1640625,24.702248387,-3.00690724892
150611,00:21:00,-0.2109375,24.6707852396,-3.86608443441
150611,00:21:03,-0.125,24.639322387,-2.29104904557
150611,00:22:00,-0.03125,24.5763975656,-0.572780285692
150611,00:22:03,-0.0703125,24.639322387,-1.28871508813
150611,00:23:00,-0.21875,24.702248387,-4.00920966523
150611,00:23:03,-0.15625,24.544935597,-2.8639464907
150611,00:24:00,-0.1171875,24.639322387,-2.14785848022
150611,00:24:03,-0.1796875,24.5763975656,-3.29348664273
150611,00:25:00,-0.171875,24.5763975656,-3.1502915713
150611,00:25:03,-0.171875,24.544935597,-3.15034113977
150611,00:26:00,-0.203125,24.544935597,-3.72313043791
150611,00:26:03,-0.2421875,24.5763975656,-4.43904721411
150611,00:27:00,-0.2109375,24.7337118291,-3.86596277846
150611,00:27:03,-0.1953125,24.6707852396,-3.57970780964
150611,00:28:00,-0.234375,24.544935597,-4.29591973605
150611,00:28:03,-0.234375,24.639322387,-4.29571696045
150611,00:29:00,-0.21875,24.5763975656,-4.00946199984
150611,00:29:03,-0.140625,24.544935597,-2.57755184163
150611,00:30:00,-0.171875,24.544935597,-3.15034113977
150611,00:30:03,-0.1796875,24.544935597,-3.29353846431
150611,00:31:00,-0.109375,24.607859829,-2.00469945705
150611,00:31:03,-0.2109375,24.5763975656,-3.86626692842
150611,00:32:00,-0.265625,24.513473923,-4.86878564169
150611,00:32:03,-0.234375,24.4820125436,-4.29605492726
150611,00:33:00,-0.21875,24.3247100664,-4.009966736
150611,00:33:03,-0.1796875,24.4820125436,-3.2936421109
150611,00:34:00,-0.1796875,24.513473923,-3.29359028703
150611,00:34:03,-0.1484375,24.513473923,-2.72079197624
150611,00:35:00,-0.203125,24.544935597,-3.72313043791
150611,00:35:03,-0.1953125,24.4820125436,-3.58004577271
150611,00:36:00,-0.2578125,24.4190906689,-4.72580913689
150611,00:36:03,-0.1484375,24.513473923,-2.72079197624
150611,00:37:00,-0.2109375,24.513473923,-3.86638859782
150611,00:37:03,-0.15625,24.513473923,-2.86399155394
150611,00:38:00,-0.140625,24.639322387,-2.57743017627
150611,00:38:03,-0.171875,24.513473923,-3.15039070933
150611,00:39:00,-0.2421875,24.4505514589,-4.43932660927
150611,00:39:03,-0.1875,24.4505514589,-3.43689802008
150611,00:40:00,-0.2109375,24.3876301735,-3.86663195275
150611,00:40:03,-0.1484375,24.3876301735,-2.72096322601
150611,00:41:00,-0.1875,24.3561699726,-3.43706026208
150611,00:41:03,-0.171875,24.3876301735,-3.15058899853
150611,00:42:00,-0.203125,24.4190906689,-3.72336477452
150611,00:42:03,-0.125,24.3561699726,-2.29137350805
150611,00:43:00,-0.234375,24.544935597,-4.29591973605
150611,00:43:03,-0.15625,24.4190906689,-2.86412674963
150611,00:44:00,-0.390625,24.4820125436,-7.16009154543
150611,00:44:03,-0.1875,24.5763975656,-3.43668171415
150611,00:45:00,-0.1953125,24.544935597,-3.57993311338
150611,00:45:03,-0.1640625,24.544935597,-3.00714381524
150611,00:46:00,-0.171875,24.4505514589,-3.15048985174
150611,00:46:03,-0.1875,24.3876301735,-3.43700618022
150611,00:47:00,-0.1875,24.513473923,-3.43678986473
150611,00:47:03,-0.1171875,24.4505514589,-2.14806126255
150611,00:48:00,-0.1796875,24.4505514589,-3.29369393591
150611,00:48:03,-0.125,24.544935597,-2.29115719256
150611,00:49:00,-0.2421875,24.544935597,-4.43911706059
150611,00:49:03,-0.15625,24.4820125436,-2.86403661817
150611,00:50:00,-0.21875,24.513473923,-4.00958817551
150611,00:50:03,-0.15625,24.4505514589,-2.8640816834
150611,00:51:00,-0.1953125,24.607859829,-3.57982045902
150611,00:51:03,-0.171875,24.544935597,-3.15034113977
150611,00:52:00,-0.234375,24.4820125436,-4.29605492726
150611,00:52:03,-0.1875,24.5763975656,-3.43668171415
150611,00:53:00,-0.171875,24.607859829,-3.15024200393
150611,00:53:03,-0.1875,24.4820125436,-3.43684394181
150611,00:54:00,-0.2890625,24.4820125436,-5.29846774362
150611,00:54:03,-0.171875,24.544935597,-3.15034113977
150611,00:55:00,-0.171875,24.544935597,-3.15034113977
150611,00:55:03,-0.140625,24.7651755659,-2.57726796833
150611,00:56:00,-0.2421875,24.702248387,-4.43876784365
150611,00:56:03,-0.0546875,24.702248387,-1.00230241631
150611,00:57:00,-0.1796875,24.639322387,-3.29338300301
150611,00:57:03,-0.21875,24.702248387,-4.00920966523
150611,00:58:00,-0.1796875,24.607859829,-3.2934348223
150611,00:58:03,-0.171875,24.607859829,-3.15024200393
150611,00:59:00,-0.1796875,24.607859829,-3.2934348223
150611,00:59:03,-0.1796875,24.639322387,-3.29338300301
150611,01:00:00,-0.1953125,24.702248387,-3.57965148682
150611,01:00:03,-0.15625,24.8281039237,-2.86354096638
150611,01:01:00,-0.21875,24.702248387,-4.00920966523
150611,01:01:03,-0.0859375,24.7337118291,-1.5750218727
150611,01:02:00,-0.2265625,24.7966395974,-4.15219972995
150611,01:02:03,-0.1796875,24.7337118291,-3.29322755202
150611,01:03:00,-0.1796875,24.7966395974,-3.29312392375
150611,01:03:03,-0.34375,24.7337118291,-6.30008749082
150611,01:04:00,-0.1796875,24.702248387,-3.29327936787
150611,01:04:03,-0.125,24.607859829,-2.29108509377
150611,01:05:00,-0.296875,24.4820125436,-5.44166957453
150611,01:05:03,-0.1640625,24.702248387,-3.00690724892
150611,01:06:00,-0.171875,24.5763975656,-3.1502915713
150611,01:06:03,-0.2109375,24.702248387,-3.86602360576
150611,01:07:00,-0.2109375,24.607859829,-3.86620609574
150611,01:07:03,-0.1171875,24.6707852396,-2.14782468578
150611,01:08:00,-0.1953125,24.513473923,-3.57998944242
150611,01:08:03,-0.203125,24.513473923,-3.72318902012
150611,01:09:00,-0.2109375,24.544935597,-3.86632776245
150611,01:09:03,-0.046875,24.4820125436,-0.859210985452
150611,01:10:00,-0.1796875,24.5763975656,-3.29348664273
150611,01:10:03,-0.2421875,24.4820125436,-4.43925675817
150611,01:11:00,-0.21875,24.4820125436,-4.00965126544
150611,01:11:03,-0.1640625,24.4820125436,-3.00723844908
150611,01:12:00,-0.2421875,24.5763975656,-4.43904721411
150611,01:12:03,-0.125,24.544935597,-2.29115719256
150611,01:13:00,-0.1640625,24.544935597,-3.00714381524
150611,01:13:03,-0.15625,24.607859829,-2.86385636721
150611,01:14:00,-0.2109375,24.544935597,-3.86632776245
150611,01:14:03,-0.1796875,24.544935597,-3.29353846431
150611,01:15:00,-0.1796875,24.513473923,-3.29359028703
150611,01:15:03,-0.2109375,24.4820125436,-3.86644943453
150611,01:16:00,-0.2421875,24.513473923,-4.4391869086
150611,01:16:03,-0.1328125,24.4820125436,-2.43443112545
150611,01:17:00,-0.1796875,24.4190906689,-3.29374576207
150611,01:17:03,-0.140625,24.639322387,-2.57743017627
150611,01:18:00,-0.140625,24.4190906689,-2.57771407466
150611,01:18:03,-0.2265625,24.4820125436,-4.15285309635
150611,01:19:00,-0.203125,24.4820125436,-3.72324760362
150611,01:19:03,-0.1953125,24.544935597,-3.57993311338
150611,01:20:00,-0.1875,24.513473923,-3.43678986473
150611,01:20:03,-0.1484375,24.544935597,-2.72074916617
150611,01:21:00,-0.2578125,24.5763975656,-4.72543735696
150611,01:21:03,-0.203125,24.3876301735,-3.7234233619
150611,01:22:00,-0.1796875,24.4190906689,-3.29374576207
150611,01:22:03,-0.1796875,24.4190906689,-3.29374576207
150611,01:23:00,-0.046875,24.4505514589,-0.859224505021
150611,01:23:03,-0.265625,24.4505514589,-4.86893886178
150611,01:24:00,-0.21875,24.3247100664,-4.009966736
150611,01:24:03,-0.1875,24.4505514589,-3.43689802008
150611,01:25:00,-0.3671875,24.2617911379,-6.7312274249
150611,01:25:03,-0.1953125,24.4190906689,-3.58015843703
150611,01:26:00,-0.265625,24.4505514589,-4.86893886178
150611,01:26:03,-0.1640625,24.4190906689,-3.00733308711
150611,01:27:00,-0.2265625,24.3876301735,-4.15304913443
150611,01:27:03,-0.15625,24.3876301735,-2.86417181685
150611,01:28:00,-0.1484375,24.3876301735,-2.72096322601
150611,01:28:03,-0.1796875,24.4190906689,-3.29374576207
150611,01:29:00,-0.265625,24.3561699726,-4.86916870462
150611,01:29:03,-0.15625,24.3247100664,-2.86426195428
150611,01:30:00,-0.1796875,24.4190906689,-3.29374576207
150611,01:30:03,-0.1875,24.4820125436,-3.43684394181
150611,01:31:00,-0.1875,24.4820125436,-3.43684394181
150611,01:31:03,-0.15625,24.4190906689,-2.86412674963
150611,01:32:00,-0.1015625,24.4190906689,-1.86168238726
150611,01:32:03,-0.1875,24.3876301735,-3.43700618022
150611,01:33:00,-0.2109375,24.4820125436,-3.86644943453
150611,01:33:03,-0.171875,24.3876301735,-3.15058899853
150611,01:34:00,-0.1953125,24.5763975656,-3.57987678557
150611,01:34:03,-0.15625,24.4820125436,-2.86403661817
150611,01:35:00,-0.21875,24.544935597,-4.00952508698
150611,01:35:03,-0.1875,24.4505514589,-3.43689802008
150611,01:36:00,-0.171875,24.4820125436,-3.15044027999
150611,01:36:03,-0.3125,24.5763975656,-5.72780285692
150611,01:37:00,-0.1796875,24.4505514589,-3.29369393591
150611,01:37:03,-0.140625,24.513473923,-2.57759239854
150611,01:38:00,-0.28125,24.4820125436,-5.15526591271
150611,01:38:03,-0.171875,24.4190906689,-3.15053942459
150611,01:39:00,-0.2265625,24.513473923,-4.15278775321
150611,01:39:03,-0.1796875,24.544935597,-3.29353846431
150611,01:40:00,-0.2265625,24.4505514589,-4.15291844093
150611,01:40:03,-0.171875,24.4820125436,-3.15044027999
150611,01:41:00,-0.1875,24.607859829,-3.43662764066
150611,01:41:03,-0.140625,24.513473923,-2.57759239854
150611,01:42:00,-0.2265625,24.513473923,-4.15278775321
150611,01:42:03,-0.25,24.4820125436,-4.58245858908
150611,01:43:00,-0.296875,24.4505514589,-5.44175519846
150611,01:43:03,-0.2109375,24.3561699726,-3.86669279484
150611,01:44:00,-0.1953125,24.4190906689,-3.58015843703
150611,01:44:03,-0.0859375,24.4190906689,-1.5752697123
150611,01:45:00,-0.234375,24.4505514589,-4.2961225251
150611,01:45:03,-0.1875,24.3561699726,-3.43706026208
150611,01:46:00,-0.2421875,24.513473923,-4.4391869086
150611,01:46:03,-0.1015625,24.4820125436,-1.86162380181
150611,01:47:00,-0.203125,24.4190906689,-3.72336477452
150611,01:47:03,-0.1328125,24.513473923,-2.43439282085
150611,01:48:00,-0.1640625,24.513473923,-3.00719113164
150611,01:48:03,-0.1953125,24.3247100664,-3.58032744285
150611,01:49:00,-0.2109375,24.3561699726,-3.86669279484
150611,01:49:03,-0.28125,24.3876301735,-5.15550927033
150611,01:50:00,-0.2109375,24.2932504549,-3.86681448307
150611,01:50:03,-0.203125,24.3561699726,-3.72348195059
150611,01:51:00,-0.2109375,24.3876301735,-3.86663195275
150611,01:51:03,-0.1875,24.4190906689,-3.43695209955
150611,01:52:00,-0.1953125,24.3561699726,-3.58027110634
150611,01:52:03,-0.1953125,24.4505514589,-3.58010210425
150611,01:53:00,-0.1796875,24.3561699726,-3.29384941783
150611,01:53:03,-0.1484375,24.2303321154,-2.72117730951
150611,01:54:00,-0.2265625,24.2303321154,-4.15337589346
150611,01:54:03,-0.1875,24.3876301735,-3.43700618022
150611,01:55:00,-0.21875,24.2617911379,-4.01009293398
150611,01:55:03,-0.1953125,24.1988733876,-3.58055280138
150611,01:56:00,-0.265625,24.3247100664,-4.86924532228
150611,01:56:03,-0.15625,24.3561699726,-2.86421688507
150611,01:57:00,-0.1875,24.2932504549,-3.43716842939
150611,01:57:03,-0.125,24.2932504549,-2.2914456196
150611,01:58:00,-0.1796875,24.3247100664,-3.29390124743
150611,01:58:03,-0.1875,24.2932504549,-3.43716842939
150611,01:59:00,-0.2421875,24.2303321154,-4.43981561025
150611,01:59:03,-0.171875,24.1988733876,-3.15088646522
150611,02:00:00,-0.2578125,24.3247100664,-4.72603222457
150611,02:00:03,-0.1796875,24.2303321154,-3.29405674309
150611,02:01:00,-0.3359375,24.3876301735,-6.15796940623
150611,02:01:03,-0.203125,24.2617911379,-3.72365772441
150611,02:02:00,-0.0703125,24.2932504549,-1.28893816102
150611,02:02:03,-0.21875,24.1988733876,-4.01021913755
150611,02:03:00,-0.265625,24.1988733876,-4.86955180988
150611,02:03:03,-0.1796875,24.2617911379,-3.29400491006
150611,02:04:00,-0.21875,24.2932504549,-4.01002983429
150611,02:04:03,-0.171875,24.2617911379,-3.15078730527
150611,02:05:00,-0.1328125,24.2303321154,-2.43473759272
150611,02:05:03,-0.1328125,24.2617911379,-2.43469928135
150611,02:06:00,-0.1796875,24.2303321154,-3.29405674309
150611,02:06:03,-0.1875,24.2617911379,-3.43722251484
150611,02:07:00,-0.1875,24.1044989715,-3.43749296002
150611,02:07:03,-0.1328125,24.2303321154,-2.43473759272
150611,02:08:00,-0.171875,24.1044989715,-3.15103521335
150611,02:08:03,-0.1953125,24.1674149543,-3.58060914413
150611,02:09:00,-0.21875,24.2303321154,-4.01015603507
150611,02:09:03,-0.1171875,24.1674149543,-2.14836548648
150611,02:10:00,-0.2265625,24.2617911379,-4.15331053877
150611,02:10:03,-0.1484375,24.1674149543,-2.72126294954
150611,02:11:00,-0.203125,24.0730414219,-3.72400930703
150611,02:11:03,-0.1171875,24.1359568156,-2.14839929287
150611,02:12:00,-0.1953125,24.0101272063,-3.58089087654
150611,02:12:03,-0.25,24.1044989715,-4.58332394669
150611,02:13:00,-0.2265625,24.0730414219,-4.15370268861
150611,02:13:03,-0.203125,24.0415841668,-3.72406790867
150611,02:14:00,-0.1953125,24.0101272063,-3.58089087654
150611,02:14:03,-0.234375,24.1988733876,-4.29666336166
150611,02:15:00,-0.21875,24.1044989715,-4.01040845336
150611,02:15:03,-0.1640625,24.1674149543,-3.00771168107
150611,02:16:00,-0.1796875,24.1988733876,-3.29410857727
150611,02:16:03,-0.09375,24.0730414219,-1.71877352632
150611,02:17:00,-0.2109375,24.2303321154,-3.86693617667
150611,02:17:03,-0.1328125,24.0730414219,-2.43492916229
150611,02:18:00,0.0078125,24.0730414219,0.143231127194
150611,02:18:03,-0.2109375,24.0730414219,-3.86724043423
150611,02:19:00,-0.2890625,24.0415841668,-5.2996351008
150611,02:19:03,-0.15625,24.1044989715,-2.86457746668
150611,02:20:00,-0.2265625,24.0101272063,-4.15383341679
150611,02:20:03,-0.1640625,24.0730414219,-3.00785367106
150611,02:21:00,-0.234375,24.0415841668,-4.29700143308
150611,02:21:03,0.0,24.1044989715,0.0
150611,02:22:00,-0.203125,24.1359568156,-3.72389210764
150611,02:22:03,-0.1640625,24.0101272063,-3.00794833629
150611,02:23:00,-0.1875,24.1044989715,-3.43749296002
150611,02:23:03,-0.265625,24.0730414219,-4.86985832458
150611,02:24:00,-0.1796875,24.0101272063,-3.29441960642
150611,02:24:03,-0.125,23.9786705403,-2.29180622513
150611,02:25:00,-0.0859375,24.0101272063,-1.57559198568
150611,02:25:03,-0.1484375,24.0101272063,-2.72147706617
150611,02:26:00,-0.25,23.9786705403,-4.58361245025
150611,02:26:03,-0.21875,24.0415841668,-4.01053467087
150611,02:27:00,-0.1640625,24.0101272063,-3.00794833629
150611,02:27:03,-0.203125,24.0415841668,-3.72406790867
150611,02:28:00,-0.1015625,24.1044989715,-1.86197535334
150611,02:28:03,-0.2109375,24.0101272063,-3.86736214666
150611,02:29:00,-0.1875,24.1359568156,-3.43743886859
150611,02:29:03,-0.0625,24.0730414219,-1.14584901755
150611,02:30:00,-0.15625,24.1044989715,-2.86457746668
150611,02:30:03,-0.25,23.9157580918,-4.5837567116
150611,02:31:00,-0.15625,24.0730414219,-2.86462254387
150611,02:31:03,-0.09375,24.0415841668,-1.71880057323
150611,02:32:00,-0.1953125,23.9786705403,-3.58094722676
150611,02:32:03,-0.2265625,23.9786705403,-4.15389878304
150611,02:33:00,-0.1328125,24.1044989715,-2.43489084668
150611,02:33:03,-0.203125,24.0415841668,-3.72406790867
150611,02:34:00,-0.21875,24.0415841668,-4.01053467087
150611,02:34:03,-0.15625,24.0730414219,-2.86462254387
150611,02:35:00,-0.171875,24.0730414219,-3.15108479826
150611,02:35:03,-0.203125,24.0415841668,-3.72406790867
150611,02:36:00,-0.25,24.0415841668,-4.58346819529
150611,02:36:03,-0.1875,24.0730414219,-3.43754705264
150611,02:37:00,-0.234375,24.0101272063,-4.29706905185
150611,02:37:03,-0.203125,24.1988733876,-3.72377491344
150611,02:38:00,-0.1640625,24.1359568156,-3.00775901002
150611,02:38:03,-0.1484375,23.9472141688,-2.72156271945
150611,02:39:00,-0.265625,24.0730414219,-4.86985832458
