Tm	Rec_ID	AvgTamb	AvgHamb	AvgGSi00	AvgTSi00	AvgSPN1_G	AvgSPN1_D	AvgWind_S	AvgWind_D	AvgAir_P	AvgTmod
2015-06-14 00:00:00	156387	27.278	91.299	-0.273	25.666	4.351	4.125	0.291	249.254	1004.960	26.051
2015-06-14 00:01:00	156388	27.259	91.335	-0.548	25.651	4.383	4.168	0.304	254.677	1004.996	26.032
2015-06-14 00:02:00	156389	27.239	91.471	-0.497	25.646	4.216	3.939	0.277	256.463	1005.019	26.014
2015-06-14 00:03:00	156390	27.219	91.528	-0.337	25.632	4.325	4.161	0.192	261.347	1004.984	25.999
2015-06-14 00:04:00	156391	27.201	91.715	-0.487	25.622	4.395	4.122	0.196	254.892	1005.024	25.987
2015-06-14 00:05:00	156392	27.188	91.830	-0.449	25.610	4.379	4.125	0.149	251.661	1005.035	25.976
2015-06-14 00:06:00	156393	27.175	91.892	-0.442	25.597	4.267	3.998	0.027	251.724	1005.021	25.963
2015-06-14 00:07:00	156394	27.158	91.926	-0.301	25.592	4.280	4.192	0.053	273.719	1005.039	25.953
2015-06-14 00:08:00	156395	27.137	92.004	-0.174	25.576	4.287	4.180	-0.090	243.178	1005.026	25.945
2015-06-14 00:09:00	156396	27.119	92.004	-0.113	25.548	4.369	4.224	-0.084	211.451	1004.993	25.941
2015-06-14 00:10:00	156397	27.105	92.078	-0.305	25.529	4.529	4.355	-0.076	233.103	1005.018	25.932
2015-06-14 00:11:00	156398	27.094	92.125	-0.382	25.519	4.407	4.161	-0.096	243.595	1005.008	25.925
2015-06-14 00:12:00	156399	27.081	92.243	-0.537	25.516	4.285	4.076	0.133	252.738	1005.034	25.919
2015-06-14 00:13:00	156400	27.069	92.348	-0.284	25.511	4.402	4.080	0.219	249.259	1004.998	25.915
2015-06-14 00:14:00	156401	27.056	92.423	-0.348	25.513	4.342	4.274	0.426	238.170	1004.987	25.912
2015-06-14 00:15:00	156402	27.038	92.479	-0.444	25.524	4.234	4.114	0.447	235.428	1004.993	25.911
2015-06-14 00:16:00	156403	27.023	92.541	-0.258	25.524	4.115	3.946	0.376	241.235	1004.995	25.908
2015-06-14 00:17:00	156404	27.006	92.572	-0.373	25.523	4.115	3.952	0.254	242.002	1004.996	25.900
2015-06-14 00:18:00	156405	26.989	92.624	-0.322	25.518	4.262	3.956	0.150	244.629	1004.995	25.897
2015-06-14 00:19:00	156406	26.979	92.695	-0.216	25.505	4.184	4.015	-0.085	243.993	1004.967	25.899
2015-06-14 00:20:00	156407	26.974	92.766	-0.339	25.494	4.071	4.113	-0.076	259.395	1005.010	25.900
2015-06-14 00:21:00	156408	26.967	92.774	-0.271	25.493	4.198	4.096	0.177	243.314	1005.034	25.904
2015-06-14 00:22:00	156409	26.954	92.720	-0.403	25.507	4.118	3.945	0.224	246.554	1004.932	25.907
2015-06-14 00:23:00	156410	26.942	92.776	-0.329	25.518	4.082	4.037	0.228	245.344	1004.978	25.912
2015-06-14 00:24:00	156411	26.930	92.811	-0.344	25.526	3.910	3.920	0.279	257.035	1004.994	25.914
2015-06-14 00:25:00	156412	26.918	92.885	-0.597	25.533	4.029	3.984	0.314	257.079	1004.957	25.912
2015-06-14 00:26:00	156413	26.904	92.872	-0.107	25.533	4.005	3.921	0.326	256.733	1004.927	25.912
2015-06-14 00:27:00	156414	26.886	92.905	-0.257	25.532	3.995	3.948	0.380	254.389	1004.878	25.911
2015-06-14 00:28:00	156415	26.870	92.886	-0.345	25.521	4.106	3.947	0.197	256.590	1004.898	25.909
2015-06-14 00:29:00	156416	26.854	92.877	-0.415	25.509	4.349	4.015	0.115	261.329	1004.835	25.908
2015-06-14 00:30:00	156417	26.843	92.908	-0.270	25.496	4.088	3.942	0.120	254.234	1004.813	25.900
2015-06-14 00:31:00	156418	26.835	92.860	-0.304	25.473	4.329	4.081	0.203	265.430	1004.791	25.890
2015-06-14 00:32:00	156419	26.826	92.846	-0.425	25.453	4.293	4.044	0.033	263.624	1004.794	25.877
2015-06-14 00:33:00	156420	26.825	92.944	-0.396	25.430	4.196	4.130	0.112	242.793	1004.811	25.870
2015-06-14 00:34:00	156421	26.826	92.972	-0.438	25.405	4.161	3.983	0.048	252.283	1004.795	25.854
2015-06-14 00:35:00	156422	26.827	93.034	-0.347	25.373	4.356	4.179	-0.023	240.081	1004.759	25.829
2015-06-14 00:36:00	156423	26.826	93.075	-0.350	25.338	3.982	4.053	0.051	242.965	1004.765	25.805
2015-06-14 00:37:00	156424	26.822	93.090	-0.387	25.309	4.501	4.127	0.014	244.596	1004.762	25.778
2015-06-14 00:38:00	156425	26.815	93.099	-0.347	25.280	4.238	4.109	0.025	247.024	1004.737	25.756
2015-06-14 00:39:00	156426	26.807	93.072	-0.348	25.253	4.255	4.178	0.056	247.066	1004.736	25.727
2015-06-14 00:40:00	156427	26.796	93.071	-0.503	25.231	4.376	4.112	-0.056	254.494	1004.716	25.692
2015-06-14 00:41:00	156428	26.787	93.133	-0.189	25.206	4.053	3.937	0.104	252.954	1004.749	25.670
2015-06-14 00:42:00	156429	26.777	93.095	-0.546	25.191	4.506	4.290	0.116	241.684	1004.734	25.649
2015-06-14 00:43:00	156430	26.766	93.083	-0.422	25.182	4.155	4.044	0.186	246.281	1004.762	25.633
2015-06-14 00:44:00	156431	26.759	93.177	-0.454	25.181	4.329	4.144	0.079	245.087	1004.749	25.622
2015-06-14 00:45:00	156432	26.761	93.292	-0.428	25.173	4.194	3.956	-0.056	255.931	1004.765	25.620
2015-06-14 00:46:00	156433	26.760	93.327	-0.336	25.164	4.192	4.025	-0.125	263.302	1004.798	25.607
2015-06-14 00:47:00	156434	26.760	93.343	-0.512	25.155	4.387	3.865	-0.100	258.149	1004.784	25.596
2015-06-14 00:48:00	156435	26.757	93.321	-0.354	25.150	3.984	4.117	-0.103	244.210	1004.800	25.584
2015-06-14 00:49:00	156436	26.756	93.315	-0.276	25.148	4.063	3.852	-0.072	231.600	1004.770	25.563
2015-06-14 00:50:00	156437	26.754	93.316	-0.241	25.166	3.991	3.767	0.013	246.999	1004.796	25.565
2015-06-14 00:51:00	156438	26.754	93.330	-0.353	25.192	3.846	3.814	-0.051	230.642	1004.799	25.573
2015-06-14 00:52:00	156439	26.755	93.355	-0.488	25.214	3.750	3.630	0.259	216.642	1004.791	25.582
2015-06-14 00:53:00	156440	26.758	93.460	-0.220	25.233	3.789	3.724	0.132	229.952	1004.761	25.594
2015-06-14 00:54:00	156441	26.768	93.561	-0.183	25.278	3.750	3.454	0.002	130.005	1004.706	25.609
2015-06-14 00:55:00	156442	26.794	93.432	-0.297	25.370	3.292	3.404	0.450	137.815	1004.700	25.664
2015-06-14 00:56:00	156443	26.828	93.307	-0.291	25.453	3.322	3.191	0.576	174.738	1004.717	25.696
2015-06-14 00:57:00	156444	26.838	93.138	-0.473	25.465	3.346	3.426	0.285	237.553	1004.704	25.704
2015-06-14 00:58:00	156445	26.836	93.092	-0.352	25.458	3.288	3.450	0.170	216.496	1004.697	25.714
2015-06-14 00:59:00	156446	26.835	93.099	-0.538	25.448	3.785	3.485	-0.013	209.124	1004.711	25.716
2015-06-14 01:00:00	156447	26.831	93.053	-0.225	25.444	3.784	3.515	0.075	196.766	1004.768	25.712
2015-06-14 01:01:00	156448	26.829	93.036	-0.625	25.475	3.627	3.502	0.082	228.039	1004.742	25.726
2015-06-14 01:02:00	156449	26.835	93.073	-0.507	25.508	3.188	3.302	0.104	213.351	1004.726	25.754
2015-06-14 01:03:00	156450	26.842	92.976	-0.516	25.523	3.440	3.415	0.231	234.410	1004.724	25.775
2015-06-14 01:04:00	156451	26.846	92.912	-0.268	25.539	3.481	3.486	0.010	251.824	1004.737	25.785
2015-06-14 01:05:00	156452	26.852	92.887	-0.457	25.571	3.365	3.421	0.103	201.845	1004.757	25.786
2015-06-14 01:06:00	156453	26.857	92.839	-0.346	25.577	3.477	3.372	0.072	228.064	1004.713	25.793
2015-06-14 01:07:00	156454	26.876	92.983	-0.369	25.645	3.396	3.414	0.655	153.759	1004.677	25.829
2015-06-14 01:08:00	156455	26.929	92.898	-0.369	25.750	3.227	3.252	0.340	174.566	1004.714	25.882
2015-06-14 01:09:00	156456	26.960	92.635	-0.244	25.769	3.175	3.351	0.308	244.150	1004.703	25.905
2015-06-14 01:10:00	156457	26.974	92.453	-0.384	25.776	3.397	3.275	0.190	253.865	1004.696	25.929
2015-06-14 01:11:00	156458	26.987	92.442	-0.353	25.796	3.263	3.560	-0.031	183.273	1004.685	25.958
2015-06-14 01:12:00	156459	27.009	92.394	-0.555	25.805	3.427	3.326	-0.068	154.926	1004.685	25.970
2015-06-14 01:13:00	156460	27.029	92.300	-0.340	25.804	3.280	3.257	0.134	229.401	1004.636	25.974
2015-06-14 01:14:00	156461	27.046	92.429	-0.348	25.805	3.491	3.382	0.186	252.555	1004.659	25.979
2015-06-14 01:15:00	156462	27.059	92.356	-0.308	25.826	3.431	3.423	-0.050	194.061	1004.632	25.990
2015-06-14 01:16:00	156463	27.076	92.306	-0.495	25.868	3.386	3.230	0.602	154.412	1004.603	26.008
2015-06-14 01:17:00	156464	27.099	92.241	-0.395	25.906	3.301	3.317	0.553	148.734	1004.586	26.028
2015-06-14 01:18:00	156465	27.139	92.424	-0.407	25.980	3.252	3.409	1.117	146.149	1004.544	26.065
2015-06-14 01:19:00	156466	27.211	92.309	-0.281	26.091	3.249	3.432	0.938	109.140	1004.504	26.157
2015-06-14 01:20:00	156467	27.282	92.013	-0.309	26.198	3.096	3.220	1.091	104.004	1004.511	26.236
2015-06-14 01:21:00	156468	27.353	91.736	-0.270	26.281	2.902	3.284	1.040	112.319	1004.509	26.304
2015-06-14 01:22:00	156469	27.392	91.309	-0.590	26.321	2.936	3.241	0.605	175.519	1004.509	26.337
2015-06-14 01:23:00	156470	27.407	91.191	-0.525	26.286	3.079	3.301	0.163	205.123	1004.469	26.329
2015-06-14 01:24:00	156471	27.415	91.207	-0.438	26.263	3.376	3.464	0.279	92.575	1004.437	26.321
2015-06-14 01:25:00	156472	27.436	91.237	-0.305	26.334	3.241	3.286	0.553	108.747	1004.436	26.366
2015-06-14 01:26:00	156473	27.484	91.220	-0.360	26.409	3.085	3.292	0.594	106.153	1004.421	26.394
2015-06-14 01:27:00	156474	27.516	90.907	-0.407	26.436	3.126	3.372	0.240	170.536	1004.376	26.410
2015-06-14 01:28:00	156475	27.520	90.731	-0.490	26.392	3.086	3.273	0.881	173.347	1004.355	26.390
2015-06-14 01:29:00	156476	27.522	90.861	-0.405	26.402	3.413	3.436	0.745	151.343	1004.288	26.389
2015-06-14 01:30:00	156477	27.538	90.935	-0.441	26.441	3.262	3.253	0.292	118.127	1004.294	26.400
2015-06-14 01:31:00	156478	27.558	90.844	-0.401	26.466	3.207	3.348	0.757	162.777	1004.296	26.415
2015-06-14 01:32:00	156479	27.567	90.776	-0.343	26.470	3.325	3.320	0.760	152.063	1004.277	26.429
2015-06-14 01:33:00	156480	27.573	90.856	-0.326	26.498	3.136	3.284	1.463	128.798	1004.236	26.450
2015-06-14 01:34:00	156481	27.581	90.804	-0.595	26.557	3.221	3.366	1.170	122.456	1004.251	26.506
2015-06-14 01:35:00	156482	27.593	90.671	-0.185	26.578	3.087	3.345	0.534	141.016	1004.217	26.530
2015-06-14 01:36:00	156483	27.600	90.630	-0.507	26.578	3.194	3.363	0.415	98.927	1004.217	26.543
2015-06-14 01:37:00	156484	27.613	90.453	-0.426	26.585	3.203	3.344	0.283	166.571	1004.206	26.573
2015-06-14 01:38:00	156485	27.620	90.342	-0.247	26.548	3.322	3.225	-0.002	200.823	1004.192	26.555
2015-06-14 01:39:00	156486	27.618	90.129	-0.507	26.513	3.538	3.569	0.301	156.766	1004.195	26.530
2015-06-14 01:40:00	156487	27.616	90.080	-0.254	26.516	3.482	3.350	0.302	181.719	1004.135	26.521
2015-06-14 01:41:00	156488	27.613	90.119	-0.380	26.509	3.528	3.417	0.209	139.730	1004.155	26.516
2015-06-14 01:42:00	156489	27.619	90.188	-0.560	26.548	3.595	3.550	0.115	130.452	1004.147	26.526
2015-06-14 01:43:00	156490	27.622	90.147	-0.351	26.563	3.597	3.525	0.188	202.487	1004.107	26.526
2015-06-14 01:44:00	156491	27.620	90.165	-0.248	26.553	3.502	3.337	0.165	144.045	1004.066	26.530
2015-06-14 01:45:00	156492	27.621	90.209	-0.402	26.567	3.588	3.427	0.034	135.751	1004.047	26.543
2015-06-14 01:46:00	156493	27.625	90.225	-0.524	26.575	3.508	3.580	0.200	149.243	1004.041	26.547
2015-06-14 01:47:00	156494	27.630	90.281	-0.335	26.574	3.494	3.398	0.422	149.647	1004.060	26.549
2015-06-14 01:48:00	156495	27.633	90.299	-0.498	26.575	3.505	3.584	0.302	112.906	1004.019	26.552
2015-06-14 01:49:00	156496	27.643	90.157	-0.592	26.592	3.585	3.421	0.013	112.968	1004.002	26.575
2015-06-14 01:50:00	156497	27.663	90.122	-0.384	26.560	3.519	3.558	-0.044	138.866	1004.001	26.571
2015-06-14 01:51:00	156498	27.674	90.132	-0.480	26.529	3.700	3.576	0.189	130.092	1004.031	26.562
2015-06-14 01:52:00	156499	27.677	90.085	-0.466	26.530	3.922	3.735	0.167	107.802	1004.017	26.561
2015-06-14 01:53:00	156500	27.681	90.170	-0.272	26.559	3.694	3.477	0.233	148.542	1003.944	26.562
2015-06-14 01:54:00	156501	27.682	90.117	-0.386	26.565	3.479	3.330	0.219	112.621	1003.973	26.549
2015-06-14 01:55:00	156502	27.679	89.802	-0.324	26.613	3.411	3.399	0.540	101.226	1003.974	26.559
2015-06-14 01:56:00	156503	27.689	89.596	-0.378	26.678	3.449	3.405	0.490	102.407	1003.930	26.594
2015-06-14 01:57:00	156504	27.703	89.643	-0.288	26.699	3.258	3.357	0.119	167.015	1003.920	26.607
2015-06-14 01:58:00	156505	27.704	89.648	-0.369	26.661	3.488	3.470	0.077	222.735	1003.930	26.595
2015-06-14 01:59:00	156506	27.692	89.672	-0.414	26.634	3.592	3.601	-0.016	110.150	1003.920	26.584
2015-06-14 02:00:00	156507	27.693	89.681	-0.291	26.657	3.648	3.310	0.462	122.795	1003.916	26.617
2015-06-14 02:01:00	156508	27.709	89.684	-0.444	26.717	3.513	3.265	0.377	69.800	1003.897	26.682
2015-06-14 02:02:00	156509	27.732	89.669	-0.285	26.750	3.378	3.384	-0.013	181.152	1003.898	26.721
2015-06-14 02:03:00	156510	27.728	89.179	-0.282	26.726	3.414	3.395	0.268	240.536	1003.900	26.710
2015-06-14 02:04:00	156511	27.701	88.980	-0.490	26.690	3.803	3.761	0.273	244.147	1003.930	26.686
2015-06-14 02:05:00	156512	27.661	88.874	-0.366	26.659	4.013	3.897	0.569	254.848	1003.894	26.665
2015-06-14 02:06:00	156513	27.612	89.065	-0.376	26.637	4.250	3.969	0.500	262.117	1003.896	26.654
2015-06-14 02:07:00	156514	27.561	89.311	-0.345	26.612	4.191	3.940	0.289	251.352	1003.883	26.643
2015-06-14 02:08:00	156515	27.514	89.594	-0.270	26.591	4.423	4.083	0.427	270.184	1003.883	26.634
2015-06-14 02:09:00	156516	27.474	89.763	-0.359	26.576	4.200	4.241	0.271	246.383	1003.904	26.634
2015-06-14 02:10:00	156517	27.432	89.847	-0.467	26.561	4.447	4.250	0.490	250.748	1003.880	26.636
2015-06-14 02:11:00	156518	27.388	89.909	-0.393	26.543	4.404	4.197	0.471	258.290	1003.871	26.631
2015-06-14 02:12:00	156519	27.350	90.216	-0.160	26.534	4.355	4.128	0.450	272.440	1003.878	26.633
2015-06-14 02:13:00	156520	27.330	90.642	-0.336	26.533	4.217	4.058	0.338	276.374	1003.851	26.642
2015-06-14 02:14:00	156521	27.331	90.812	-0.274	26.553	4.065	3.858	0.248	266.112	1003.864	26.666
2015-06-14 02:15:00	156522	27.316	90.347	-0.406	26.534	4.055	3.723	0.504	268.379	1003.906	26.657
