Tm	Rec_ID	AvgGSi00	AvgTSi00	AvgHamb	AvgTamb
2015-06-13 00:00:00	1347206	-0.180	23.762	0.025	26.155
2015-06-13 00:01:00	1347207	-0.170	23.766	0.024	26.167
2015-06-13 00:02:00	1347208	-0.169	23.779	0.024	26.173
2015-06-13 00:03:00	1347209	-0.183	23.785	0.026	26.187
2015-06-13 00:04:00	1347210	-0.177	23.790	0.026	26.202
2015-06-13 00:05:00	1347211	-0.188	23.803	0.025	26.220
2015-06-13 00:06:00	1347212	-0.172	23.818	0.025	26.240
2015-06-13 00:07:00	1347213	-0.173	23.821	0.025	26.252
2015-06-13 00:08:00	1347214	-0.178	23.826	0.025	26.255
2015-06-13 00:09:00	1347215	-0.180	23.838	0.024	26.260
2015-06-13 00:10:00	1347216	-0.177	23.849	0.026	26.271
2015-06-13 00:11:00	1347217	-0.177	23.857	0.025	26.278
2015-06-13 00:12:00	1347218	-0.157	23.867	0.024	26.279
2015-06-13 00:13:00	1347219	-0.181	23.874	0.026	26.284
2015-06-13 00:14:00	1347220	-0.172	23.884	0.024	26.286
2015-06-13 00:15:00	1347221	-0.195	23.893	0.025	26.301
2015-06-13 00:16:00	1347222	-0.187	23.902	0.025	26.316
2015-06-13 00:17:00	1347223	-0.176	23.901	0.026	26.326
2015-06-13 00:18:00	1347224	-0.178	23.899	0.024	26.329
2015-06-13 00:19:00	1347225	-0.162	23.893	0.025	26.326
2015-06-13 00:20:00	1347226	-0.174	23.876	0.024	26.325
2015-06-13 00:21:00	1347227	-0.178	23.873	0.025	26.331
2015-06-13 00:22:00	1347228	-0.163	23.875	0.025	26.343
2015-06-13 00:23:00	1347229	-0.180	23.880	0.026	26.357
2015-06-13 00:24:00	1347230	-0.160	23.886	0.022	26.368
2015-06-13 00:25:00	1347231	-0.206	23.894	0.028	26.373
2015-06-13 00:26:00	1347232	-0.164	23.892	0.025	26.381
2015-06-13 00:27:00	1347233	-0.170	23.896	0.023	26.393
2015-06-13 00:28:00	1347234	-0.159	23.900	0.024	26.394
2015-06-13 00:29:00	1347235	-0.168	23.906	0.026	26.396
2015-06-13 00:30:00	1347236	-0.184	23.896	0.026	26.401
2015-06-13 00:31:00	1347237	-0.169	23.887	0.025	26.402
2015-06-13 00:32:00	1347238	-0.180	23.882	0.025	26.397
2015-06-13 00:33:00	1347239	-0.117	23.880	0.020	26.395
2015-06-13 00:34:00	1347240	-0.174	23.886	0.025	26.393
2015-06-13 00:35:00	1347241	-0.178	23.884	0.026	26.380
2015-06-13 00:36:00	1347242	-0.169	23.872	0.025	26.366
2015-06-13 00:37:00	1347243	-0.169	23.868	0.025	26.362
2015-06-13 00:38:00	1347244	-0.172	23.867	0.025	26.356
2015-06-13 00:39:00	1347245	-0.249	23.861	0.028	26.356
2015-06-13 00:40:00	1347246	-0.155	23.854	0.023	26.351
2015-06-13 00:41:00	1347247	-0.158	23.846	0.025	26.346
2015-06-13 00:42:00	1347248	-0.173	23.836	0.025	26.339
2015-06-13 00:43:00	1347249	-0.158	23.833	0.025	26.342
2015-06-13 00:44:00	1347250	-0.227	23.844	0.026	26.347
2015-06-13 00:45:00	1347251	-0.180	23.845	0.025	26.348
2015-06-13 00:46:00	1347252	-0.174	23.851	0.026	26.359
2015-06-13 00:47:00	1347253	-0.187	23.847	0.024	26.359
2015-06-13 00:48:00	1347254	-0.153	23.848	0.025	26.359
2015-06-13 00:49:00	1347255	-0.176	23.840	0.026	26.359
2015-06-13 00:50:00	1347256	-0.187	23.827	0.025	26.352
2015-06-13 00:51:00	1347257	-0.189	23.803	0.024	26.348
2015-06-13 00:52:00	1347258	-0.141	23.798	0.024	26.363
2015-06-13 00:53:00	1347259	-0.136	23.791	0.024	26.375
2015-06-13 00:54:00	1347260	-0.187	23.782	0.026	26.383
2015-06-13 00:55:00	1347261	-0.183	23.776	0.026	26.378
2015-06-13 00:56:00	1347262	-0.166	23.777	0.024	26.379
2015-06-13 00:57:00	1347263	-0.173	23.776	0.025	26.383
2015-06-13 00:58:00	1347264	-0.206	23.771	0.025	26.386
2015-06-13 00:59:00	1347265	-0.161	23.774	0.025	26.395
2015-06-13 01:00:00	1347266	-0.188	23.766	0.025	26.393
2015-06-13 01:01:00	1347267	-0.187	23.762	0.024	26.395
2015-06-13 01:02:00	1347268	-0.197	23.763	0.026	26.391
2015-06-13 01:03:00	1347269	-0.171	23.767	0.024	26.392
2015-06-13 01:04:00	1347270	-0.168	23.772	0.024	26.390
2015-06-13 01:05:00	1347271	-0.156	23.779	0.025	26.388
2015-06-13 01:06:00	1347272	-0.169	23.787	0.026	26.385
