Tm	Rec_ID	AvgTSi00	AvgTSi10NE	AvgTSi20NE	AvgTSi30NE	AvgTSi40NE	AvgTSi90E	AvgTSi90S	AvgTSi90W	AvgTSi90N	AvgGSi00	AvgGSi10NE	AvgGSi20NE	AvgGSi30NE	AvgGSi40NE	AvgGSi90E	AvgGSi90S	AvgGSi90W	AvgGSi90N	AvgSPN1Glob	AvgCMP11	AvgSPN1Diff	AvgTamb	AvgHamb	AvgWindSp	AvgTcab	AvgHcab	AvgWindDir	AvgP	AvgGaSi00	AvgTaSi00
2015-07-22 00:00:00	428237	27.881	27.856	27.878	27.960	27.995	28.701	28.575	28.552	28.575	-0.271	-0.106	-0.521	-0.493	0.321	0.536	-0.062	-0.182	-0.509	2.498	-0.284	0.762	28.796	79.458	0.213	35.357	53.034	147.549	1007.082	-0.227	27.941
2015-07-22 00:01:00	428238	27.868	27.854	27.876	27.958	27.988	28.706	28.582	28.553	28.573	-0.140	-0.126	-0.540	-0.519	0.315	0.479	0.064	-0.202	-0.509	2.525	-0.277	0.756	28.799	79.462	0.449	35.366	53.012	106.995	1007.095	-0.064	27.941
2015-07-22 00:02:00	428239	27.862	27.852	27.877	27.961	27.990	28.700	28.575	28.548	28.569	-0.041	-0.097	-0.533	-0.507	0.314	0.531	-0.018	-0.166	0.849	2.645	-0.273	0.815	28.799	79.633	0.726	35.375	52.990	107.295	1007.108	-0.106	27.941
2015-07-22 00:03:00	428240	27.858	27.851	27.872	27.954	27.984	28.687	28.560	28.536	28.557	-0.234	-0.122	-0.532	-0.464	0.323	0.629	-0.038	-0.176	-0.217	2.639	-0.277	0.873	28.786	79.651	0.817	35.384	53.006	104.900	1007.126	-0.157	27.943
2015-07-22 00:04:00	428241	27.861	27.853	27.875	27.959	27.986	28.686	28.559	28.534	28.560	-0.068	-0.094	-0.516	-0.514	0.341	0.571	-0.021	-0.171	-0.194	2.414	-0.291	0.823	28.777	79.741	0.475	35.392	53.049	120.728	1007.122	-0.045	27.945
2015-07-22 00:05:00	428242	27.842	27.823	27.848	27.942	27.980	28.690	28.559	28.540	28.564	-0.256	-0.107	-0.517	-0.471	0.345	0.562	0.066	-0.187	-1.098	2.593	-0.295	0.841	28.784	79.773	0.174	35.402	53.021	127.899	1007.112	-0.079	27.919
2015-07-22 00:06:00	428243	27.824	27.804	27.833	27.925	27.966	28.688	28.554	28.537	28.554	-0.215	-0.079	-0.519	-0.464	0.323	0.642	-0.003	-0.162	-0.204	2.643	-0.251	0.876	28.793	79.619	0.138	35.412	53.040	192.677	1007.136	-0.133	27.898
2015-07-22 00:07:00	428244	27.800	27.778	27.810	27.904	27.947	28.692	28.561	28.546	28.551	-0.367	-0.111	-0.507	-0.486	0.342	0.464	-0.120	-0.178	0.099	2.733	-0.281	0.856	28.803	79.380	-0.055	35.421	52.877	158.592	1007.135	-0.029	27.871
2015-07-22 00:08:00	428245	27.774	27.749	27.787	27.882	27.926	28.688	28.553	28.543	28.550	-0.282	-0.105	-0.493	-0.483	0.318	0.576	-0.057	-0.158	-0.203	2.601	-0.292	0.864	28.811	79.314	-0.069	35.430	52.851	103.575	1007.131	-0.054	27.843
2015-07-22 00:09:00	428246	27.768	27.755	27.788	27.878	27.916	28.685	28.550	28.535	28.545	-0.303	-0.098	-0.523	-0.491	0.325	0.576	0.060	-0.184	-0.280	2.663	-0.300	0.872	28.815	79.178	0.632	35.438	52.846	115.777	1007.151	-0.084	27.839
2015-07-22 00:10:00	428247	27.774	27.771	27.800	27.886	27.918	28.689	28.557	28.535	28.546	-0.216	-0.094	-0.497	-0.471	0.317	0.449	-0.119	-0.196	-0.931	2.527	-0.271	0.797	28.818	79.149	0.096	35.446	52.874	122.310	1007.146	-0.165	27.855
